Datum/Uhrzeit;774 [°C];774 [m/s];
17.07.25 15:42:42;22,6;4,73;
17.07.25 15:42:43;22,6;4,72;
17.07.25 15:42:44;22,6;4,72;
17.07.25 15:42:45;22,6;4,72;
17.07.25 15:42:46;22,6;4,73;
17.07.25 15:42:47;22,6;4,71;
17.07.25 15:42:48;22,6;4,72;
17.07.25 15:42:49;22,6;4,72;
17.07.25 15:42:50;22,6;4,71;
17.07.25 15:42:51;22,6;4,72;
17.07.25 15:42:52;22,6;4,72;
17.07.25 15:42:53;22,6;4,73;
17.07.25 15:42:54;22,6;4,70;
17.07.25 15:42:55;22,6;4,72;
17.07.25 15:42:56;22,6;4,71;
17.07.25 15:42:57;22,6;4,72;
17.07.25 15:42:58;22,6;4,71;
17.07.25 15:42:59;22,6;4,71;
17.07.25 15:43:00;22,6;4,71;
17.07.25 15:43:01;22,6;4,72;
17.07.25 15:43:02;22,6;4,70;
17.07.25 15:43:03;22,6;4,71;
17.07.25 15:43:04;22,6;4,71;
17.07.25 15:43:05;22,6;4,72;
17.07.25 15:43:06;22,6;4,71;
17.07.25 15:43:07;22,6;4,72;
17.07.25 15:43:08;22,6;4,72;
17.07.25 15:43:09;22,6;4,72;
17.07.25 15:43:10;22,6;4,71;
17.07.25 15:43:11;22,6;4,70;
17.07.25 15:43:12;22,6;4,71;
17.07.25 15:43:13;22,6;4,71;
17.07.25 15:43:14;22,6;4,71;
17.07.25 15:43:15;22,6;4,71;
17.07.25 15:43:16;22,6;4,71;
17.07.25 15:43:17;22,6;4,72;
17.07.25 15:43:18;22,6;4,70;
17.07.25 15:43:19;22,6;4,71;
17.07.25 15:43:20;22,6;4,71;
17.07.25 15:43:21;22,6;4,70;
17.07.25 15:43:22;22,6;4,71;
17.07.25 15:43:23;22,6;4,69;
17.07.25 15:43:24;22,6;4,72;
17.07.25 15:43:25;22,6;4,71;
17.07.25 15:43:26;22,6;4,70;
17.07.25 15:43:27;22,6;4,70;
17.07.25 15:43:28;22,6;4,68;
17.07.25 15:43:29;22,6;4,70;
17.07.25 15:43:30;22,6;4,71;
17.07.25 15:43:31;22,6;4,70;
17.07.25 15:43:32;22,6;4,71;
17.07.25 15:43:33;22,6;4,70;
17.07.25 15:43:34;22,6;4,69;
17.07.25 15:43:35;22,6;4,70;
17.07.25 15:43:36;22,6;4,71;
17.07.25 15:43:37;22,6;4,70;
17.07.25 15:43:38;22,6;4,70;
17.07.25 15:43:39;22,6;4,70;
17.07.25 15:43:40;22,6;4,70;
17.07.25 15:43:41;22,6;4,69;
17.07.25 15:43:42;22,6;4,70;
Durchschnitt gesamt;22,6;4,71;
Minimum gesamt;22,6;4,68;
Maximum gesamt;22,6;4,73;

< Allgemeine Informationen >
App-Version;Name Messprogramm;Messdatum;Kommentar;
28.13.10.88198;Standardansicht;17.07.25 15:43:44;;

< Unternehmen >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;Fax;Homepage Adresse;
;;;;;;;;;;

< Kunde >
Stadt;Land;Kundennummer;E-Mail-Adresse;Name;Techniker;Tel.;Straße;
;;;;;;;;

< Geräte >
Name;Seriennummer;Firmware-Version;Messgrößen;
testo 405i;48911774;1.101.1;Temperatur;
testo 405i;48911774;1.101.1;Strömungsgeschwindigkeit;

< Messstelle >
Name;Anlagennummer;Anlagentyp;Anlagenhersteller;Seriennummer der Anlage;Herstellungsdatum;Notizen;
;;;;;;;

< Messparameter >
Messmodus;Messtakt;Startzeit;Ende;Dauer;
Zeitlich;1 Sek;17.07.25 15:42:42;17.07.25 15:43:42;1 Min 0 Sek;

< Grafikausschnitte >
Name

< Bilder >
Name

